Email Text,Label
"Dear Support,

Critical alert on database crash - major outage reported. Requesting urgent resolution.

Cheers, Taylor",urgent
"Dear Support,

Critical alert on database crash - major outage reported. Requesting urgent resolution.

Cheers, Jordan",urgent
"Hello Support, 

The database crash has completely taken down our service. Can you escalate this issue immediately?

Regards, Emily",urgent
"Hi, 

I would like to inquire about subscription renewal. Could you please share the detailed information?

Thanks, Pat",non-urgent
"Hi there, 

I tried the automated system but it's not solving my problem related to billing discrepancy. Please connect me to a live agent.

Thnx, Emily",needs human
"Hello Support,

Having trouble with password reset. The chatbot couldn't assist. Need a real person to help.

Need urgent hlp, Taylor",needs human
"Hello Support, 

The payment gateway failure has completely taken down our service. Can you escalate this issue immediately?

Thnx, Pat",urgent
"Hello Support,

Having trouble with account verification. The chatbot couldn't assist. Need a real person to help.

Regards, John",needs human
"Hello, 

I'm considering upgrading to premium plan. When would be a good time to discuss further?

urgent pls, Chris",non-urgent
"Hello Support,

Having trouble with billing discrepancy. The chatbot couldn't assist. Need a real person to help.

thanx, Taylor",needs human
"Hello, 

I'm considering upgrading to premium plan. When would be a good time to discuss further?

Regards, John",non-urgent
"Hello Support, 

The database crash has completely taken down our service. Can you escalate this issue immediately?

Regards, Jordan",urgent
"Hi Team, 

We are experiencing database crash right now and it's impacting all customers. Need urgent attention! Please prioritize this.

urgent pls, Jordan",urgent
"Dear Team,

Need clarification on feature request. No immediate rush, but would appreciate a response soon.

Need asap, Pat",non-urgent
"Dear Support,

Critical alert on database crash - major outage reported. Requesting urgent resolution.

Cheers, Chris",urgent
"Hi, 

I would like to inquire about subscription renewal. Could you please share the detailed information?

Thanks, Pat",non-urgent
"Hello Support, 

The server outage has completely taken down our service. Can you escalate this issue immediately?

Regards, Alex",urgent
"Hi there, 

I tried the automated system but it's not solving my problem related to account verification. Please connect me to a live agent.

Thanks, John",needs human
"Dear Customer Service,

I'm stuck trying to resolve account verification via the FAQ. Please escalate this to human support.

Thanks a lot, Emily",needs human
